id,org_name,branch,level_1_code,level_1_value,level_2_code,level_2_value,level_3_code,level_3_value,parent_org_id,parent_org_name,top_org_id,top_org_name,province_code,city_code,district_code,create_time,enabled,address
C1010233007970,中国工商银行股份有限公司宁波华光城支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007491,中国工商银行股份有限公司宁波江东支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330204,2010/1/1,正常,宁波市福明路734-736号
C1010233007981,中国工商银行股份有限公司宁波樱花支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007491,中国工商银行股份有限公司宁波江东支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330204,2010/1/1,正常,宁波市江东区宁穿路182号
C1010233007992,中国工商银行股份有限公司宁波新河支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007958,中国工商银行股份有限公司宁波兴宁支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330204,2010/1/1,正常,宁波市江东区新河路183-193号
C1010233008005,中国工商银行股份有限公司宁波常青藤支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007491,中国工商银行股份有限公司宁波江东支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330204,2010/1/1,正常,宁波市朝晖路396-400号（双）
C1010233008016,中国工商银行股份有限公司宁波明楼支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007491,中国工商银行股份有限公司宁波江东支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市鄞州区徐戎路298-304号（双号）
C1010233008027,中国工商银行股份有限公司宁波东海支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007491,中国工商银行股份有限公司宁波江东支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330204,2010/1/1,正常,宁波市民安路507--509号
C1010233008038,中国工商银行股份有限公司宁波中园支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007491,中国工商银行股份有限公司宁波江东支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330204,2010/1/1,正常,宁波市中山东路1224--1230号
C1010233008049,中国工商银行股份有限公司宁波日湖支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007505,中国工商银行股份有限公司宁波江北支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330205,2010/1/1,正常,宁波市人民路699-703号(单号)
C1010233008050,中国工商银行股份有限公司宁波慈城支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007505,中国工商银行股份有限公司宁波江北支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330205,2010/1/1,正常,宁波市江北慈城镇解放路54号
C1010233008072,中国工商银行股份有限公司宁波五乡支行,分支机构,C,银行业存款类金融机构,1,银行,102,中国工商银行,C1010233007925,中国工商银行股份有限公司宁波新城支行,A1000133000227,中国人民银行宁波市中心支行,330000,330200,330212,2010/1/1,正常,宁波市鄞州区五乡镇菜场路83-88号
